"id","profileName","text","date","title","rating","images","helpful","variant:"
"RMJFH4WCV33R9","Cruz","Son originales y tienen todo lo que se necesita de unos audífonos de este precio. El audio que es lo más importante es increíble, con profundos bajos y agudos muy presentes. La absorción magnética funciona muy bien. La batería y su duración me sorprendió que durara tanto al ser tan compactos y la carga inalámbrica funciona excelente. Son cómodos aunque hay otros mejores, al igual que la cancelación de ruido, deja algo que desear, pero cumplen con lo básico. La colectividad con un Galaxy es muy eficiente con sus múltiples funciones. En general son buenos audífonos y claro que volvería a comprarlos.","Reviewed in Mexico on 3 January 2024","Excelentes audífonos","5.0 out of 5 stars","","5",
"R3RMTUYXEL7WQY","Grady Brown","Smaller and more compact than airpods, a little confusing to pair but got it after a google search. Very comfy in ears and good sound quality","Reviewed in Australia on 23 October 2022","Better than airpods","5.0 out of 5 stars","","0",
"R21BNLLQ5CEZW4","Amaze Custom","I bought these mainly to listen to music handsfree while doing home chores. The sound is very good, but it is a bit base-dominant for my taste. The voices seem a bit “muffled” while the base is very sharp (feels like someone is making “bom bom bom” sounds over the music). I can’t hear all the different instruments clearly (like I used to with my old, cheaper buds). I figure I might get used to it.The noise cancelling is decent, although I could hear water from the tap I had left running in the bathroom while listening to music in the next room (luckily, though, because I’d forgotten about the tap running. I thought there were river sounds in the song…).As for battery life, it is a distinct improvement! My older (cheaper) buds didn’t last one hour, even new. These don’t seem to drain out!","Reviewed in Canada on 30 July 2023","Great quality/price ratio","4.0 out of 5 stars","","2",
"RTO5B9398GC3Y","Derrick Kilfoy","Really like them. Great sound & on full charge good for 24 hrs or more.","Reviewed in Canada on 27 December 2023","Great product, works as claimed.","5.0 out of 5 stars","","0",
"R2UAYFV1Y0APJV","R Hill","I'm really enjoying these earbuds. They sound great and fit in my ears well. I'm really impressed by the noise cancellation and ambient modes for the price.My only issue is it's not the best at reacting when I tap it to change track and such. It might be because there isn't an obvious place to touch it.","Reviewed in the United Kingdom on 17 August 2022","Great earbuds, control detection not the best","4.0 out of 5 stars","","0",
"R10ZPBCDEAF4H","keren foster","the service and product exceeded my expectations.ordered the item at 11am received by 5.30pm same dayAmazing!!! Thank you. Well Done","Reviewed in Australia on 19 October 2022","Impressed","5.0 out of 5 stars","","0",
"R2I5Z8HUVWZ3OA","Kenton","I'm going to do a pros and cons list to make this alot simpler, and so you can easily find what you would like to know.Pros:1. Overall great sound quality, no complaints really, and there is a eq app that allows you to customize the sound to your preference. Whether that be if you like more bass or a soft listening experience.2. Comfort is good on these earbuds, genuinely some of the most comfortable earbuds out there. And they come with different sized ear pieces. But comfort is subjective so your mileage may vary.3. Battery life is great, I very rarely need to charge them. You can definitely get 6 hours out of them on a full charge. And the case can store an additional 15 hours. It takes 15 min to charge the earbuds to full and 2 hours to charge the case to full.Cons:1. Noise cancelation is not great. Don't be expecting to jump on a plane and drown out the engine, talking, and inevitable crying baby. The anc is like a 4/102. If you don't have a samsung phone it will not be as seamless of an experience. Meaning widgets won't display battery percentage, you also won't get a pop up when connected telling you battery percentage. You won't be able to change eq settings either since the app you need is only on samsung devices. So my advice is to get the respected earbuds that pair with your phone. So, if you have a iPhone, get airpods. If you have a pixel, get pixel buds. Etc.3. Minor nit-pick but sometimes my earbuds will randomly disconnect, so I will have to put them back in the case and then put them back in my ears.4. The touch controls aren't very good. They aren't very responsive, So don't bother with them.Overall they are extremely good earbuds for the price. They are a great budget option for wireless earbuds that will surely not disappoint. And if you have Samsung phone they are even better, with all the features you gain by staying in the samsung ecosystem.","Reviewed in the United States on 20 August 2023","Great wireless earbuds for the price.","5.0 out of 5 stars","","108",
"R7LMFEV3PD3HJ","Iron Thorn","Pros:- Tiene sonido balanceado.- Buena cancelación de sonido activa.- La batería les dura unas 7-8 horas.- Muy resilientes, se me han caído algunas veces y siguen dando el máximo. Incluso me he quedado dormido llevándolos puestos y no les ha pasado nada.Cons:- Tuve que usar las piezas más grandes para que se quedarán bien puestos a mis oídos, y aún así se me salían poco a poco al hacer actividad física. Así que no son muy buenos para usar mientras haces ejercicio.- Debido a qué no se quedan en su lugar muy bien, tengo que ajustarlos ocasionalmente; y accidentalmente hago que los controles táctiles pausen la música. Bastante molesto.","Reviewed in Mexico on 22 October 2023","Buenos para uso general. No muy buenos al hacer ejercicio.","4.0 out of 5 stars","","0",
"R1KSDHYA78OVQL","Alberts L.","Its a good product but when it comes to old set of Samsung beats they are almost indetical slight difference in style but are brilliant for any use","Reviewed in the United Kingdom on 9 September 2022","Good","5.0 out of 5 stars","","0",
"R3QY65KVX85B2R","MCF","Really enjoy the product and so far I have had no issues other than what is to be expected from ear buds (sound is different compared to over-ear headphones, they sometimes fall out, can sometimes be uncomfortable)","Reviewed in Canada on 13 December 2023","Impecable","5.0 out of 5 stars","","0",
"R1I88SIPUIWGYE","CJMA","These earbuds are exactly what my grandson wanted.","Reviewed in the United Kingdom on 29 August 2022","Perfect for my Grandson","5.0 out of 5 stars","","0",
"RO46AEMG7IL2Q","Trey Brown","Purchased these when they were on sale and was completely blown away!First thing that stood out was the active noise cancellation! Being able to go from noise cancellation to ambient sounds is great, especially for certain situations!If you're in a loud environment and want to listen to music/audio books - noise cancellation! If you want to listen to music but need to be aware of your surroundings and hear people - ambient sounds!  The noise cancellation blocks out roughly 80-90% of the total outside sound; its amazing!  The ambient sounds option plays back your voice in the earbuds, so that you're not yelling at people next to you, you'll maintain your normal talking voice.As for the quality of sound - they're good! Nothing truly stands out here, but they have a good sound quality and there isn't too much bass/treble.Battery life is good! You'll get several hours of play time before needing to put them back in the case. Out of a full charge on the case, I can go about 2-3 days before needing to charge the case again.My advice to those that purchase - you get much more access to different options and controls if you download the Samsung Wearable app, which gives these earbuds even more appeal! Even if I didn't get these during a sale, they'd still 100% be worth the price!","Reviewed in the United States on 30 December 2023","Truly Impressive!","5.0 out of 5 stars","","2",
"R3769JXL8ELBIQ","david","Good sound quality, battery life is excellent, and the noise isolation works like a champ. Ask my wife, she gets pretty upset when I put them in. The fitment is really good and comfortable in my ears. They provide multiple silicon ends to find the right fit for you. Using the Samsung wearable app is easy, and updates are fairly fast. They pair to my phone, tablet, watch and my pc and switch seamlessly to either one.","Reviewed in the United States on 12 January 2024","Excellent value for galaxy buds.","5.0 out of 5 stars","","0",
"R1SQZH1MTB5LFJ","kbondale","The pods fit snugly and don't come loose during workouts. The noise cancellation is reasonable and the pods provide a reasonable range of sound. The Galaxy Wearable app provides quite a bit of customizability to the settings.Phone call usage is fine - had a little echo on one call, but that resolved itself quickly and didn't recur.Battery life was also reasonable and the pods charge rapidly within the case.","Reviewed in Canada on 21 October 2023","Reasonably priced, good audio fidelity, reasonable battery life","5.0 out of 5 stars","","0",
"R1HPT789RFR4DS","Ash M.","Great pair of earphones, great sound and the noise cancellation is amazing (working in a loud warehouse with its own power plant) but they don't last long. Had them since the end of June and last week they started acting up, it's only when I have both in, there's a static like grainy feedback and sqwark when I play music. Tried all the online troubleshooting like cleaning and unpairing and resetting, nothing works. There's a very short duration where they don't do it after taking out the case and then they start again. At £80 I'm kinda disappointed and not sure if Samsung will replace.","Reviewed in the United Kingdom on 11 September 2022","Life duration","3.0 out of 5 stars","","0",
"R1YCE2YZ2GLH1M","Hansa Rathod","Concerned of ear infection reports  on this product","Reviewed in the United Kingdom on 7 September 2022","Samsung Galaxy buds 2","4.0 out of 5 stars","","0",
"R2MPLKEKQO9H6R","Ernesto Sáenz","Bastante buen producto funcionan muy bien y tienen un excelente sonido Y sus funcionalidades ambiental y cancelación de sonido ayudan bastante. El único problema es que la batería dura un poco menos de lo que me esperaría Aun que debo decir que ya había leído sobre esto y no fue una sorpresa.","Reviewed in Mexico on 17 January 2024","Excelente","5.0 out of 5 stars","","0",
"R1I6GH0NZGE1LJ","Amando Franco Barrera","Excelente producto","Reviewed in Mexico on 18 January 2024","Excelente producto","5.0 out of 5 stars","","0",
"R35LT7O7BJRGJN","Sandra","Cumplen exactamente con la descripción y su función. Buen tiempo de entrega a pesar de ser temporada alta.","Reviewed in Mexico on 8 January 2024","Gran compra","5.0 out of 5 stars","","0",
"R1YY20ZSQHCISQ","Leonardo ","Son muy bueno, busque varias reviews para asesorarme un poco y la verdad que cumple con todos los parámetros, los tengo alrededor de 3 meses siguen funcionando como el primer día, valen cada centavo","Reviewed in Mexico on 29 December 2023","Satisfecho","5.0 out of 5 stars","","0",
"R29PKM2YSC0ZK1","Cameron Wylie","Good sound quality, battery life, and noise isolation for a very affordable price. It's shocking to take the headphones off and realize how loud everything is going on around you, even in a relatively quiet spot. They fit really well and comfortable in my ears, which is unusual as my ear canals are somewhat narrow. They provide multiple plugs to find the right fit for you.You have to download the Samsung wearable app to have full control over them, which is a little annoying. It took a while to make a connection and I was wondering if I would have to return them. I think restarting my phone did the trick. Galaxy s22.The touch controls are a bit annoying and limited compared to other Samsung headphones I've owned. They do not have swipe gesture to control volume. I use these while working out, so I turn off touch controls altogether to prevent changing volume or stopping my music while I'm moving around. For normal everyday use, they are probably fine for most people.Overall, for the price, hard to beat.","Reviewed in the United States on 17 November 2023","Excellent for the price, controls are finicky","4.0 out of 5 stars","","0",
"R3C0KEKSP0JWOO","Ray Cook","I am completely blown away by the way they sound, I've had a lot of earbuds, some delivered and some didn't, name brand high and budget, but these right here are worth every penny, they sound incredible for budget bud's!","Reviewed in the United States on 31 January 2024","To my surprise!","5.0 out of 5 stars","","0",
"R1DZ5I7JTY4YLA","Juvenal Jaimes Beltran","Compre estos audífonos porque el S23 no trae entrada jack. La verdad en general cumplen con la necesidad. El único pero que le pondría es el tipo de plástico que es muy resbaloso.","Reviewed in Mexico on 18 December 2023","Buen producto.","5.0 out of 5 stars","","0",
"R3CAR65A1SOXMY","D. MALONE","I gave these as a gift and they love them , wears these almost every day","Reviewed in the United States on 1 February 2024","very good earbuds","4.0 out of 5 stars","","0",
"R2NP1MIL4JJ5UR","jinha","Great buds.Had so many issues with the Sennheiser CX True Wireless. Consant dropouts and having to factory reset every other week.Galaxy is so much better. Just plug and play.It might install some type of Galaxy Wearable app but you can just uninstall it. One trick is once you've paired the buds and stow they away. Turn on Phone Bluetooth then pull the buds out of the case, it'll reconnect on it's own and not have to bother with the Galaxy Wearable app screen. Or just double click back button on Android if you pair the regular way.Sound is incredible for $65, it won't knock your socks off but it surpasses it's price point. Also doesn't overwhelm you with bass like most earphones. Loud bass doesn't indicate good quality and I appreciate that Samsung agrees with that. Supposedly ANC only works when both buds are used but I've had luck on a single earbud. Pretty much can't hear noise on my left ear.Be careful using both buds on ANC when walking or crossing. It really does work well, maybe too well.Buds are comfortable even good enough for side sleepers on a firm pillow.Haven't tested the battery properly as I only use it for commute for about an hour. Usually only need to charge the case once every 10 days.  ANC will increase drain on the battery if activated.Overall really great buds for $65. Can't complain much and even the annoying app install can be removed or simply backed out by a couple presses of the back button. I've had more annoying earbuds before. I appreciate the quality and price Samsung offers for this product.","Reviewed in the United States on 16 October 2023","Great product for the price","5.0 out of 5 stars","","8",
"RDD846PLHSTC0","CHEM-2300","Bought these for gym workouts. Did not want ear buds as I have been wearing over the ears and thought buds would constantly fall. Headphones also were not perfect,  needed something that did not move or fall off at the gym so decided to try buds.  These were a game changer for me. They fit great with the smaller tips. Initial set up was  little confusing but after that, love them. The carrying case is super convenient, charge lasts forever and they sound is great.","Reviewed in the United States on 19 December 2023","Great value, great sound.","4.0 out of 5 stars","","0",
"RT37RC6JPLUPW","Rasheem Scott","I got these on sale for $65 to replace my JLabs. Overall, the sound quality wasn't any better than my previous pair of buds.However, the Samsungs were better in every other way: the mic was 100X better and I can confidently use them to make phone calls even in loud places.The noice cancellation was good.The battery life was OK, not better than my JLabs.The connectivity is amazing if you have a Galaxy phone: they pair instantly like Airpods.Overall I give the Galaxy Buds a 7/10. You're paying for the features more that the sound quality. If I had bought these for over $100, I would've been more disappointed but for $65, They're amazing.","Reviewed in the United States on 26 November 2023","Very Good Overall but doesn't really live up to my expectations","4.0 out of 5 stars","","0",
"R5K5ZZRFMBFOZ","Balam","Suenan bien, la cancelación de ruido activa y el sonido ambiental funcionan bien para su precio, el único pero es que no se sujetan muy firmemente a la oreja así que no son muy aptos para el deporte (aunque siendo sinceros tampoco están orientados a eso así que no está tan mal)","Reviewed in Mexico on 5 December 2023","Muy buen audio","5.0 out of 5 stars","","0",
"R1X0HKVG5NFLD9","Rodolfo","Muy buenos, son cómodos a la hora de hacer ejercicio, tiene varias funciones para poder configurar el sonido y la operación de los audífonos, buena conectividad, en mi caso con un Galaxy S10. Recomendables","Reviewed in Mexico on 9 December 2023","Excelentes","5.0 out of 5 stars","","0",
"R3P17K0FH701IE","Fernando Morales","Al precio que los conseguí 1299, creo que es un súper precio para acceder a unos audífonos de buena calidad en sonido y construcción. Los uso al menos 4 horas al día con cancelación de ruido viajando, y estoy muy feliz, puede que no cancele al 100 y que al inicio no sean tan cómodos, pero en verdad los recomiendo.","Reviewed in Mexico on 1 December 2023","Buen audio","5.0 out of 5 stars","","0",
"RVFUWVSF5EP03","axelbruk","Son super resistentes, ya se me han caído varias veces ( con estuche y todo ) y no se han roto ni han habido deficiencias del producto, los recomiendo ampliamente y el sonido, cancelación y sonido ambiental son una joya🥰","Reviewed in Mexico on 6 December 2023","Buds 2","5.0 out of 5 stars","","0",
"R22A3NZOC2KUU5","Lorie Markley","These work great but the noise canceling isn't so great.  For the price, I couldn't ask for anything more.","Reviewed in the United States on 15 January 2024","Great for the price","4.0 out of 5 stars","","0",
"RZPA56N54AXT0","Irvin Figueroa","Los audífonos son cómodos y tienen un excelente sonido","Reviewed in Mexico on 18 December 2023","Excelente compra","5.0 out of 5 stars","","0",
"R10EU3BPIVJ6VD","Bug","They work great and connect immediately and perfectly to my phone. Ambient sound and noise canceling features both work great.","Reviewed in the United States on 25 January 2024","Love them","5.0 out of 5 stars","","0",
"R3JDTZRBJS0GGY","Rafayel","not so good ANC in the market but for the price it is ok, and sitting good in the ear","Reviewed in the United States on 25 January 2024","good quality / price ratio","5.0 out of 5 stars","","0",
"R1XAYFGWWXVVL3","Jennifer U.","Overall, these earbuds sound very good and have a ton of features that work well but I have others that I grab before these. Why? The plastic is just so slick! It's difficult to pull them out of the case and out of your ear. I just don't understand why they are like that.But, if you can get past that, they really seem to be decent earbuds. I'll probably gift them to someone if they don't mind that minor inconvenience.","Reviewed in the United States on 17 December 2023","Why do they have to be so slick?","5.0 out of 5 stars","","2",
"RYUBOE9ZWJJ39","mj cat","I bought these for my son for his birthday. He really likes them and said the sound quality is great","Reviewed in the United States on 15 January 2024","Nice sound","5.0 out of 5 stars","","0",
"R3BBC46DBHDNWD","Ty","These are about the only ear buds that will stay in my ear and I'm happy with the quality","Reviewed in the United States on 15 January 2024","Good for small ears","5.0 out of 5 stars","","0",
"R3VXDWW44FJJOV","Enid C","Bluetooth connection is fast and easy. The sound quality is great it took me a minute to adjust the sound quality because I kept hearing an echo at first but that was on me. Definitely worth the purchase.","Reviewed in the United States on 1 January 2024","Great earbuds and great price","5.0 out of 5 stars","","0",
"R3HOMQF2FMM4E6","aaa","I don’t have to listen to them anymore","Reviewed in the United States on 18 January 2024","Can’t hear voices in my head","5.0 out of 5 stars","","2",
"R3MQK592GR1MRF","William","For the price you won't find a better ear bud. Works well and sounds satisfactory. Bought 4 pair so far. Battery life is short though when using noise canceling or ambient. Use two pair. They charge fast so use two different pair for continuous listening.","Reviewed in the United States on 24 December 2023","Very good!","5.0 out of 5 stars","","0",
"RM9WKIYER4K5F","Tammy Perez","Bought for my grandson and he loves them. Love my peace and quiet!","Reviewed in the United States on 12 January 2024","Gifted","5.0 out of 5 stars","","0",
"R2UXIBJE3Q2I7J","Alice","I have the previous gen Galaxy Earbuds which fit my ear immaculately. These... fall out, unfortunately. I tried the additional ear pieces provided but they still fall out. Could be the shape of my ear.Gave these to my mother since she did not like the Air Pods she has. These earbuds fit much better for her and the sound quality is much better. The battery life was okay, being able to use them on and off throughout a working day. She hasn't tested the range on them yet. Worth it if they're selling for under $100","Reviewed in the United States on 31 October 2023","Weird Fit","4.0 out of 5 stars","","2",
"R2X7B6ME9QAH95","Richard Holm","I use them for sleep but they don't hold a charge through the entire night.","Reviewed in the United States on 19 December 2023","Good sound","4.0 out of 5 stars","","0",
"R3V7Y01FFBK55","Liam","Bass is very good and Exaggerated but that's how I like it plus the 360 audio makes it even better","Reviewed in the United States on 2 January 2024","Samsung galaxy buds 2","5.0 out of 5 stars","","0",
"R2PC8SZ52H62QJ","Jacob McDill","These little ear buds surprised me! The controls are intuitive and simple and the noise level and sound quality are fantastic for such a small device. The biggest surprise for me was the level of noise canceling you get. My only complaint would be the battery life in the ear buds. I don't think you'll be able to get a full day's use out of these without putting them back in the case for a bit to charge. That hasn't been a problem for me, but if that's what you're expecting, these might not be for you. That being said, the case has excellent battery life. I can use these all week using only the case to charge them.","Reviewed in the United States on 17 November 2023","Excellent sound quality","5.0 out of 5 stars","","0",
"RYL1FEY7GIB9C","Micah Kimball","I had a pair of knock-off Galaxy Buds, and the design was similar, but they had no ANC at all (even though the packaging hyped it up--it just didn't exist). The sound quality from them was barely acceptable--I didn't expect much from some cheap knock-offs.I have purchased renewed products before, and I know that sometimes it's a crap-shoot---you may get something that isn't any good.  I was willing to take that chance for some decent ear buds.When I got them, they still had a bit of charge, so I was eager to try them.  I opened up the case, and my phone (Samsung) immediately detected them and assigned them a name.  I put one in my ear and music from Spotify started playing. I got the other one in, and was immediately surprised at the depth and richness of the sound. The knock off pair didn't really have a lot of bass, but these Buds 2 really delivered (compared to the knockoffs).That's not to say that they have an amazing sound, but when you listen to Chinese fakes, the difference is staggering.Battery life is not as long as I would like--I get about 5 hours with ANC on, so it's not terrible, I just wish it was a bit longer---not that I have reason to have them in my ears for longer than that (well, except on plane rides).  The case doesn't take too long to top them off, but I haven't tested to see how many charges I can get out of the case.They are comfortable enough to sleep with them in my ears.  I have taken a few naps with them in my ears listening to some soft music and the ANC on, and have not been awakened by the neighbor's dogs--they are worth the price for that alone.I've very satisfied with this purchase.","Reviewed in the United States on 13 August 2023","Just like brand new","5.0 out of 5 stars","","23",
"RJOKUMFP4BLYT","Jose M.","Por el costo que tienen la calidad tanto en materiales, sonido y soporte de aplicación es excelente hasta el momento me han dejado satisfecho hacen honor a las opiniones publicadas","Reviewed in Mexico on 21 November 2023","Audifonos de ecelente calidad","5.0 out of 5 stars","","0",
"R2WOYUHFM1L8SM","Ben and Liz Brewer","Really like that you can pause what you are listening to,change songs by touching head phones. You can also turn off other head phone if you only want to to come through on one. Love that it charges. Have had for awhile and are holding up really well considering I use them everyday.","Reviewed in the United States on 18 November 2023","Great product","4.0 out of 5 stars","","0",
"R2E7ZZCDD2YFWE","wolder","estan geniales, se oyen muy bien y tiene muy buen eliminador de ruido para las llamadas gracias a sus 3 microfonos, si lo usas con un dispositivo samsung es mejor","Reviewed in Mexico on 20 November 2023","me encantaron","5.0 out of 5 stars","","0",
"R2E138D2MG0LZI","Juan E. Camilo","Very good conditions","Reviewed in the United States on 12 January 2024","Very nice product","5.0 out of 5 stars","","0",
"R3K7UARXSYQ961","Gerardo Galván","El sonido es nítido y no se pierde la comunicación.","Reviewed in Mexico on 29 November 2023","Excelentes","5.0 out of 5 stars","","0",
"R3EFMZ63VYAU4X","Yrret","I Love them because of all the features that met my needs. I Hate them because of my number one fear! ""Popping out of my ear"" It's happened 3 times. I fear it's going to happen while mowing the lawn, which is the #1 reason for the purchase.","Reviewed in the United States on 8 November 2023","Thin Line Between Love and Hate","4.0 out of 5 stars","","0",
"R16FDAL7SDG3VM","GABY YBARRA","El producto esta perfecto, solo en uno de mis oidos no embona como debiera y se me sale facilmente. no me sirven para hacer ejercicio por esa razon. Si estoy inmovil no hay problema","Reviewed in Mexico on 14 November 2023","Era justo lo que pedí.","5.0 out of 5 stars","","0",
"RX2GCSO54BHWW","Amazon Customer","These are really comfortable in your ear.  I have a Galaxy phone and they sync immediately.  also, if you want to use both buds at the same time, they automatically both turn on without any additional function.  Really like this purchase.","Reviewed in the United States on 14 December 2023","Love these little gems","5.0 out of 5 stars","","0",
"R3FIHCIAG53I2O","David Figueroa","Estan bastante bien por el precio, la bateria les dura mucho tiempo y son comodos, unica cosa es que no son tanto para hacer ejercicio, se pueden salir facil si corres","Reviewed in Mexico on 14 November 2023","Muy bien por el precio","5.0 out of 5 stars","","0",
"R3JBMC2GWUS0IR","Katie ","They sound good but there’s no way to skip a song?","Reviewed in the United States on 30 November 2023","Sounds good","4.0 out of 5 stars","","0",
"R5P86WLI9HALR","Gerard Orozco","Son súper cómodos, el audio se esucha muy bien, los uso principalmente para el gym y la bateria fura muchísimo, las funciones de cancelación de ruido y sonido ambiental son geniales, ademas que el diseño de la carcasa los hace muy comodos de portar y no estorban ni tratendolos en el pantalon junto al celular u otras cosas.Le daría 5 estrellas de no ser porque la app no permite personalizar las funciones para volumen, control de música, etc y los defaults no son muy cómodos, pues constantemente se pausa la música con cualquier leve toque y termino mejor desactivando los controles. Seria bueno personalizar el funcionamiento de taps simples y dobles y segun el audífono en que lo hagas.","Reviewed in Mexico on 10 September 2023","Faltan opciones de personalización","4.0 out of 5 stars","","2",
"R2H8CHLN89CNMF","Wolfy","I like the awareness mode but the sound quality on this for listening to music was kinda underwhelming for how much these cost","Reviewed in the United States on 13 November 2023","Sound is ok passthrough audio and is good","4.0 out of 5 stars","","0",
"R11HFUNNSGUH9D","Derrick","I got these earbuds just the other day and have noticed the battery life sucks with them. I have a pair of Dollar General Bluetooth Earbuds that will last my entire shift and only be down to around 75% if that but with these I've noticed within my first hour they are at 85%. I love Samsung products and I really like these but the battery doesn't last long enough.","Reviewed in the United States on 16 October 2023","The battery life isn't great!","4.0 out of 5 stars","","3",
"R19D4UADNNWPHR","Kayeli2","I had the previous version, but my son lost one of the buds, so I needed a replacement. These are great. They fit snuggly in my ears, and the sound quality is great.","Reviewed in the United States on 10 December 2023","Great Earbuds","5.0 out of 5 stars","","0",
"RCLYNS8WG4SRY","Narissa","Very comfortable, great for exercising and extremely long battery life","Reviewed in the United States on 27 December 2023","Amazing quality","5.0 out of 5 stars","","0",
"R2LHXZEJAVAM3I","Bladimir Giovanni Gomez","La puntualidad en la entrega del producto, dos días antes de la fecha sugerida.","Reviewed in the United States on 2 November 2023","Se ajusta a la información mostrada por el vendedor","4.0 out of 5 stars","","0",
