"id","profileName","text","date","title","rating","images","helpful","variant:colour"
"R49S2P168CMWR","Ronak","This is review is after a couple of months of usage.Awesome sound and noise cancellation but not useful for calling.Best to use for gym and binge-watching.When used for calling as for other wireless this also takes all the surrounding noises, making it a very bad experience","Reviewed in India on 4 January 2024","Awesome sound and noise cancellation but not useful for calling","3.0 out of 5 stars","","0","Triple Black"
"R319UOIJ63HGDC","Sachin Patil","Best ANC we can get among all others similar products in market. Nothing to say about its quality, it amazing.But keep in mind you will found  the product little heavier than other brands. Case is bulky. Sound quality is good but if you are bass lovers then it has its limitations. We can increase the bass and treble up to certain level via Bose app. Good fit, after regular use you will get used to and comfortable with it, battery life also nice. What they say they are giving.","Reviewed in India on 22 October 2023","Best ANC","4.0 out of 5 stars","","0","Triple Black"
"R3MMZ346ZZ6IN0","Narendra Jawkar ","Quality  of Sounds touch directly to soul and heart ❤️","Reviewed in India on 13 November 2023","Musical Experience","4.0 out of 5 stars","","0","Triple Black"
"R3HC5B08WM74B1","Pallav Gupta","I am using this masterpiece since last 11 days now.1. Got this delivered to me the very next day of my order.2. Bluetooth 5.1 is really quick. Gets connected to the device without any lag. One time- One device, but that's really ok. can switch from 1 device to another easily using Bose Music app.3. Touch controls are super sharp. No lag and No false command.4. Company says battery lasts for 6hrs on ANC and the case gives 12hrs of extra charge so total 18hrs. But this is a false comment from company. The earbuds last 8+hrs on a single charge and case gives 15+ hrs of extra charge. Its been 11 days since i bought, i charged on the 1st day of arrival, and today after 11 days, there were 2 points left in the case that means another 40% still left. I don't think any other earbuds may last longer than this.5.  Noise cancellation is as expected.6. Just found 1 issue with the wireless charging. I dont think Magsafe charger(Apple) works on it. As soon as i placed the case on the magsafe, it started charging, but even after 2hrs, no progress.while on normal type c charger, it gets charged within 2hrs.7. Size dosen't really matter to me, so the big case(Twice as compared to apple airpods pro) isn't a issue for me. even the out of the earbuds isn't an issue for me as compared to airpods.8. Bose music app takes care of the software upgrades on background. So no need to manually check.9. I not a music enthusiast, I bought this for my business meetings and calls, sometimes movies. It perform great on that.10. Tried some high bass and beats music to test the performance. Thrilled for an earbuds to perfrom like these.11. Don't compare any earbuds with headphones. Obviously they will be better in noise cancellation, sound quality but compare among the earbuds product only.12. I have Airpods pro too, Bose easily defeated Airpods pro in every aspect- i told size doesn't matter to me13. I watched some 100 videos on youtube before buying this product. So got a clear picture of what i was going to buy. Every video has compared bose with Airpods pro.14. Obviously overpriced, but what if they lasts longer than airpods pro? Seems justified then!!!","Reviewed in India on 31 May 2021","Honest review - Long review but worthy reading. Go for it!!","4.0 out of 5 stars","","58","Soapstone"
"R339GWOCKM79W3","U K K Menon","I got this in2021. Worked for about 6 months and then the noise  started breaking and there was a noise vibration. I tried the service centre at Bangalore which is the nearest to me. But they said they cannot do anything though the product was under guarantee. I had to send the unit to Ahmedabad. After a month or so, they sent me a replacement unit. But now this too has stopped working altogether. I am not able to pair the buds with any of the apple products I have. The blue tooth function is not getting activated.  The product now is useless. If you plant to use the buds for a year , this is OK. But then you will have to pay high price for this.  The over the ear units I have also has stopped working within 2 years. I am totally un satisfied with the Bose products. The main problem is getting in touch with the services centres, which are not many.","Reviewed in India on 29 June 2023","Over rated ???","3.0 out of 5 stars","","33","Soapstone"
"R8LLCZ8B79WAH","Ricky","The battery gets spoilt by 2 years and the service center doesn't cover that, they only say they would replace it if under guarantee the product is, or else you will have throw the ear bud off as my battery for my right ear bud has got spoilt and now I cant do anything and I am compelled to buy a new one, no after service guarantee","Reviewed in India on 24 September 2023","Battery Replacement for Ear Buds","3.0 out of 5 stars","","17","Soapstone"
"R2CRIIX56Y53BU","JAZZGURU","I had tried various earphones on my One Plus, the sounds were all good to me, however when I used to speak the mic was a problem. I thought it was my phone's issue and had returned 1 pair of SONY 1000 XM4.Took a plunge and risked BOSE, QC, and bingo this is the only one where others are comfortable to hear me when I speak.I have a QC 25, and the ANC of that is better than this, but that has served a good 10 years and I needed a new pair, and finally, only BOSE could substitute a BOSE.","Reviewed in India on 16 October 2023","Best ANC - compatible to my one plus","5.0 out of 5 stars","","0","Triple Black"
"R2I57Y0MWO77TK","Avinash Kumar","Buds are not fitting properly so i returned the product waiting for ultra buds, any ways im trting to get it by my friend","Reviewed in India on 20 October 2023","Fit","3.0 out of 5 stars","","0","Triple Black"
"R3BQLUC3R37NQ8","Chander Shekhar Luthra","After using for 20 days, I can say the sound quality is world class. The only problem is that Bose earplugs are bit on the heavier side and one can feel a bit uncomfortable after 30 minutes or so. Rest all is just too good.","Reviewed in India on 27 October 2023","Worth money spent","5.0 out of 5 stars","","0","Triple Black"
"RZKP4Y9Y604YC","Low quality ","Best in class","Reviewed in India on 4 December 2023","Sound and noise cancellation","5.0 out of 5 stars","","0","Triple Black"
"R2EOOOBCTKTDLH","Placeholder","Update after 2 yrs:After getting the first faulty device replaced since it was under warranty, the second device again stopped working after 2 yrs. There was no physical damage. The earbuds simply get disconnected from bluetooth when i pick them out from the case. This time when I visited the service center, they said they can't do any repairs beyond software upgrade. The only thing Bose service center offered was 10% off if I upgrade to quietcomfort 2 :)Needless to say, I am never buying Bose againAfter 1 month of purchase:i had a horrible experience which seems to be quite commonplace with Bose these days. I am saying this because 3 of my other friends also had a similar experience in past 6 months with bose earbuds. For me, the left earbud suddenly stopped working just 8 days after the purchase and then began my tiresome journey to get adequate support. Mind you, there was no physical damage; it just stopped working after i took it out from the case on the 8th day.  I tried all the troubleshooting steps started on bose website but nothing worked. Called Amazon but they refused to provide any help on this as their replacement policy is valid for only 7 days. I also contacted the bose flagship store in Bangalore but they stated that they can replace it immediately only if the product was purchased from a physical store. The store representative even chided me for purchasing it on amazon and said that such problems are bound to occur if purchased online. This took me by complete surprise as i never expected a big brand like Bose to have such different standards in product and support quality for offline and online channels.Lastly, after nth attempt to conact Bose' customer support, i was given the address of a 3p service center. Upon visiting that service center, it took over an hour for them to try some software updates etc and then finally they declared that the piece is faulty and would need to be replaced. However, this only service center in Bangalore didn't even have a single replacement unit of this device which is one of fastest selling sku of Bose. Now i have been told that i need to wait for 10 days for the stock to arrive and then they will replace it. Moreover, neither the Bose customer care helpline nor the phone number of the 3p service center is picking up my calls to inform me the status of ordered replacement stock. There is absolutely no tracking provided. I guess they expect me to keep visiting the service center once every 2-3 days to check for the status.","Reviewed in India on 14 October 2021","Horrible experience....Left earbud stopped working in a week","1.0 out of 5 stars","","16","Soapstone"
"R2W5N0EO8X938O","Tasneem dariwala","Ear pods are so good must have","Reviewed in India on 22 November 2023","The ear pods are so good","5.0 out of 5 stars","","0","Triple Black"
"R2UIXJBK5LSQ49","Sanjeev Khanna ","Simply one of the best in terms of sound quality. If you love music they are the choice.","Reviewed in India on 6 November 2023","Value for money","5.0 out of 5 stars","","0","Triple Black"
"RJTWC3HW05XCY","Amazon Customer","After just 13 months of usage the headphones dont work at all. Red and white light blinks continuously and any effort will not make them good. This is 2nd time happening with me incase of Bose. The earlier product I had was Sound sport free which had rubber parts and they peeled off after using them for 1.5 years. The products are expensive but durability is worst. Never expected this from Bose.","Reviewed in India on 4 January 2024","Earbuds stopped working with just 13months of usage","1.0 out of 5 stars","https://m.media-amazon.com/images/I/51GJofuB3RL.jpg
https://m.media-amazon.com/images/I/61XMDFreVDL.jpg","0","Triple Black"
"R3LJNKP3Y5ZOIW","Amish Baghel","I really loved bose product.It was my first time buying bose productImpressive things-Battery- haven't detioratedNoise cancellation- bestmodes ( mixture of ANC and EQ)Quality of soundProduct life - aesthetic feelThe product doesn't give me feeling of slipping through my hand that I feel in boat or OnePlus","Reviewed in India on 13 August 2023","Loved it.","5.0 out of 5 stars","","0","Triple Black"
"R1Q4M2SM2RNXQ5","Curious Alien","The sound quality when you stream multimedia is top notch. It can beat it's competitors hands down.But it struggles to cancel noice during calls and ends up picking more noice than it should. As a Bose users you will not have issues but people on the other end of the line WILL COMPLAIN.This does not connect to multiple devices at the same time, if that's what you're looking for.This is a pure multimedia earphone! And it's a beast only in this sector!!","Reviewed in India on 30 September 2022","<<HONEST OPINION >>If you make lot of calls/meetings this will not feel like premium product","4.0 out of 5 stars","","18","Triple Black"
"R32IRG93ZIYTH5","Sunil Kumar","I purchased this product on Dec 2021, soon after 3 months after purchase Left earbud was not working, service center took long time to provide replacement and I got replacement and that also having same issue, looks like battery issue, if both earbuds are working this is the perfect one but my bad luck.","Reviewed in India on 25 September 2023","Good product but ..","2.0 out of 5 stars","","0","Triple Black"
"R20CZMPRURLXIV","Sanjay Kumar Sena","Awesome sound quality and ANC. The sound quality depends upon the device you are connecting and the app you are using. Earlier I was using jiosaavn but the sound quality was not so impressive. Then I tried spotify and there was big difference. Spotify combined with Moto audio gave an amazing sound quality. Bass, treble everything is balanced. This might disappoint heavy bass lovers. To check the sound quality you can play the tracks - Surface by Aero Chord, Animals, silent shout, drover, tsunami etc. It supports AAC and SBC codec and not aptX.As far as touch controls are concerned, you can skip to next track by touching and holding the left earbud. This shortcut needs to be enabled from the bose music app. Double tap the left earbud to switch to 3 different ANC levels, also these 3 levels can be set through the app. Swipe up the right earbud to increase the volume or swipe down to decrease the volume, again this control needs to be turned on through the bose music app. Double tap the right earbud to pause/play tracks or receive/disconnect calls. Touch and hold the right earbud to decline a call or activate your phone's voice assistant.In terms of connectivity, it pairs very fast and range is also good.For the users like me battery backup is also good. I use it almost 2-3 hours every day and in last 11 days I have charged it for just once.Looks and build quality of other competitors might be quite good but for me the sole purpose of a earphone is to deliver High quality sound and this requirement is faithfully served by these buds.","Reviewed in India on 4 June 2021","Rediscover Music","5.0 out of 5 stars","https://images-na.ssl-images-amazon.com/images/I/B17YTwoSJRS.jpg
https://images-na.ssl-images-amazon.com/images/I/B17uGWvCmAS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1M6kTlgQkS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1WIGcFpe4S.jpg
https://images-na.ssl-images-amazon.com/images/I/B1rZE1sEBIS.jpg
https://images-na.ssl-images-amazon.com/images/I/C18dr5joQGS.jpg","4","Triple Black"
"R2XMUDHXH8XGYL","Kishore G","The item i received is defective and doesn't work.Poor quality and doesn't fit to ears properly.I wouldn't recommend this product to anyone.","Reviewed in India on 21 January 2024","Defective and poor quality","1.0 out of 5 stars","","0","Triple Black"
"R1T6WYKI1PLIIF","Ashwin","It's obviously the beast. The sound is thunderous, there's no doubt about it. The beats are very very clear and the bass is appropriate, neither too much nor too less, just the right amount. Noise cancellation is also superb. Obviously you can't compare it with any headphones specifically bose nc 700 or Sony WH-1000XM4,but in comparison of any earphone available in the market by far, its the best. Sound quality is also very fine. Each and every tune, beats etc are clear. Battery life is also good. Bose say 6 hrs and more or else it is true. Many things depends upon your usage, sound level, nc on or off, using for listening music or calling etc etc. Battery life will depend on that. Just I have a little problem or say it more as a disappointment that it is not as comfortable as bose soundsport truly wireless, though it is far more comfortable with bose sports earbuds, which I personally am not able to use it for more than 2 hrs atmost after that the ear starts hurting a lot. It is far far better than that, but since I have a soundsport truly wireless and I am using it since last 2.5 years so I know it is the best if you will compare the comfort level.Overall very happy with the product. Just have a little comfort issue.","Reviewed in India on 4 July 2021","Go for it!!","5.0 out of 5 stars","","3","Triple Black"
"R2LLXR7NDY4MMY","sanjeev","Amazon delivered on timeInitial issues with device was replaced by bose to version 2 without extra charges.GOOD DEAL","Reviewed in India on 16 September 2023","Sound quality good","5.0 out of 5 stars","","0","Triple Black"
"R280A2Y1DDMEDW","Sarath Chandran ","Best in class","Reviewed in India on 23 October 2023","Best one ever","5.0 out of 5 stars","","0","Triple Black"
"R1JUPAT8WQDXWJ","rajita","The Bose earbuds simply won’t take charge, both the charging case as well as the earbuds. Amazon is asking me to go to service centre, I mean I bought the Bose earbuds from Amazon to save my time and not from store but Amazon is asking me to go to their service centre for replacement because they won’t replace the defective item that was sent. I will never buy anything from Amazon, nor my family members and friends. Most pathetic service. Amazon and Bose both have cheated me.","Reviewed in India on 5 December 2023","Most pathetic service by amazon","1.0 out of 5 stars","","0","Triple Black"
"R2ALLBMCJ92Z2M","sayed mohammad mahfooz Ali","Hello,I normally don’t provide feedback for any of product bought through Amazon but for this time , i felt my review may help others looking to buy bose earbuds.I bought this product 2 days back and it got delivered almost immediately but I realized that single bud use ( using only left ear bud ) is not possible in this product which is huge turn off for me . This product does allow right ear single bud use but not for left ear .I was surprised as how such awesome product does not have this basic feature which is even available in earbuds costing less then 1000 rupees .I have requested for return and may opt for next higher version of this product which does hav this feature now .Thanks","Reviewed in India on 27 October 2023","Single bud use","1.0 out of 5 stars","","0","Triple Black"
"R3MWSL8JMF2SOR","sahil g.","Very poor qualityVery poor customer serviceNever buyEar start to pain after 10 minutes of useSound vibrate on speed bumps or jerksLeft bud is not used alone you have to use both buds simultaneouslyNever ever buy these buds","Reviewed in India on 21 December 2023","Worst product","1.0 out of 5 stars","","0","Triple Black"
"RILXI9K5WHHHM","TarunThawani","Had to exchange because right earbud was not working. Amazon was prompt in setting up a one on one exchange ie the delivery guy for new earbuds took away the old ones too. Now they're working. They're a little bit uncomfortable in the ear. And I observed a little lag. And the mic is not very sensitive so I must speak loud. Plus sometimes on a call it tries to cancel out not just my noise but also on the other person's end which is irritating because white noise keeps appearing when the cancellation fails, eg when the person speaks. I researched a lot so this is definitely the best earbud tech out there.","Reviewed in India on 1 June 2021","Had to exchange because right earbud was not working","4.0 out of 5 stars","","4","Soapstone"
"R3DNT2C2VKWUC1","Suchismita","My 1st Bose experience and it's awesome...","Reviewed in India on 16 October 2023","Happy","5.0 out of 5 stars","","0","Triple Black"
"R3HQ9NJFWVJR1S","Dinesh Shenoi P","The Bose Earbuds purchased first in Oct 2021 developed issues on the left ear bud after use of just 8 months. When I raised a compliant with Bose via Amazon, they replaced it with a new one in Aug 2022 as this was within the warranty period of 1 year. However the replacement new one that I received developed a similar issue with the left ear bud and not able to use it. After going through the reviews of Bose in other sites, I understand that this seems to be a common problem with Bose earbuds. But for the expensive buds that we purchase it for, Bose should by default give at least a 2 year warrants to justify the high cost that it charges. Now I am hesitant to purchase Bose buds again for fear of this issue.","Reviewed in India on 18 February 2023","Bose left ear bud not working","2.0 out of 5 stars","","0","Triple Black"
"R2KAGQPX9HVHKN","Rohit","The product meets all the specifications mentioned but the battery backup should have been more the present status and after the update the music app is not giving more voice prompts and not able to increase and decrease noise cancellation as per choice","Reviewed in India on 4 October 2022","Product noise cancellation and sound is good","4.0 out of 5 stars","","0","Soapstone"
"R23K7U9BV1CVEC","Vijay Durga prasad","The mic does not seem to be working right. It picks up all background","Reviewed in India on 9 October 2023","Disappointed by the call quality","2.0 out of 5 stars","","0","Triple Black"
"R3DZJTMZ2R151R","Saurabh Vashist","Received the earbuds today and I have been using them for a day and so far so good (actually excellent!). Let me start with the Good.1) Extremely good Active Noise Cancellation: You can precisely control the level of noise cancellation with the Bose App.2) Perfect fit for the ears (if you try all combinations!): Bose has suggested to try out all sorts of permutations and combinations on the various sizes provided (1-3). To my surprise, in my right ear, size 1 fit perfectly - while in my left ear, size 2 earbud was a better fit.3) No displacement: Once this was sorted, I went for a run and did a intense HIIT workout, did a couple of work calls and all this without once feeling that they might fall off.4) Battery life: While Bose claims a battery life of 6 hours, I have been using them for the last 8 hours straight.Cons:1) Some might find it bulky and heavy. Depends on whether you prefer better ANC vs better design (AirPods Pro are for you then).2) Can only connect with one device at a time. Serious drawback, I hope they fix this via an update.","Reviewed in India on 15 October 2020","Excellent ANC, some might it bulky, fits perfectly for me","5.0 out of 5 stars","","49","Triple Black"
"R3RZRLM8I8RJ12","Sunil Mahindrakar","Right earbud is not workingNo sound is coming from right earbud","Reviewed in India on 5 January 2024","Quiet comfort earbud","1.0 out of 5 stars","","0","Triple Black"
"R3GKOLULQVYZVW","Stanley jones","It’s nice product design which keeps your ear  strain less  with noise reduction with every instrument hear clear for the recording levels are very important other wise this Bose ear buds are very impressive","Reviewed in India on 25 June 2023","Music art","5.0 out of 5 stars","","0","Triple Black"
"R2A596AKHSUU9L","SAINATH","Sound clarity is awesome. But volume is low. Bass is good enough without hampering the sound quality.Could be more comfortable on ears. The silicon buds make little discomfort.Overall 4 out of 5.","Reviewed in India on 3 November 2022","Its Bose....","4.0 out of 5 stars","https://m.media-amazon.com/images/I/41tWJPaG-UL.jpg
https://m.media-amazon.com/images/I/51pU8BXGHKL.jpg","4","Soapstone"
"RS1Z3ZOGVZ7ZE","Ankit Prasad","It’s good","Reviewed in India on 23 September 2023","It’s good","5.0 out of 5 stars","","0","Triple Black"
